,sentence,sentiment,battery_life,sound_quality,value_for_money,fingerprint,picture_quality
70,"Deliver to Santosh guptaSURAT  394107OnePlus4.5 out of 5 stars  14,564 ReviewsOnePlus 6T (Midnight Black, 8GB RAM, 256GB Storage)9%off OnePlus 6T (Midnight Black, 8GB RAM, 256GB Storage)Size name: 8+256 GBColour: Midnight Black₹ 41,999MRP: ₹45,999 Save ₹4,000EMI from ₹1,977. No Cost EMI available. Options FREE Delivery.₹Save extra upto ₹ 13,100 & get more: No Cost EMI, Bank Offer, Exchange... + 3 offers10 Days ReplacementAmazon Delivered1 Year WarrantyIn stock.Guaranteed delivery to pincode 394107 by Wednesday, April 17 with Two-Day Delivery — 7 hours and 9 minutes left DetailsSold by Darshita Electronics (4.7 out of 5 | 32,478 ratings) and Fulfilled by Amazon. Gift-wrap available.With ExchangeUp to ₹ 11,550 offWithout Exchange₹ 41,999 ₹ 45,999Deliver to Santosh - Surat 394107‌Qty:Qty:1Acko 1-year Total Damage ProtectionAcko 1-year Total Damage Protection  1,999See more services and productsBuy NowAdd to CartADD TO WISH LIST2 MORE SELLERS (₹ 41,999 AND ABOVE)Need GST Invoice on this product?Sign in/Create a free business accountAdvertisementHave a question?Find answers in product info, Q&As, reviewsFind answers in product info, Q&As, reviewsAbout this itemFrom the manufacturerNightscapeLight up the night with New Nightscape technology. Artefacts are cleared up and highlights exposed.NightscapeIntelligent RecognitionSuper Slow Mo VideoStudio Lighting0:00DisplaySo Much ScreenThe more screen you have, the more you can do with your phone. From games and movies to apps and web pages, every experience is immersive thanks to our edge-to-edge Optic AMOLED display.Our Magic TouchHidden under the display, you will find our new in-screen fingerprint sensor. The OnePlus 6T unlocks the moment your finger lands on the display for a seamless and intuitive unlock experience that takes just 0.36 seconds.Truly SeamlessThanks to our new in-display fingerprint sensor, the OnePlus 6T’s design is truly unified and even. Subtle curves create a sense of flow that mesmerizes every time you look at or hold it.Powerful SmartphoneTake your game to the next level with the Qualcomm Snapdragon 845 Mobile Platform. With smooth software and powerful hardware working together, the OnePlus 6T is playing for the win. We hope you are too.The Cherry on TopWith Android Pie, you get the latest from Android improved by OxygenOS.The Cherry on TopGo Big or Go HomeColorsEveryday ProtectionDescriptionUnlock your OnePlus 6T with the fastest in-display fingerprint sensor on any smartphone. Setting a new industry standard with our cutting-edge Screen Unlock technology.SEE LESSFeatures & detailsCamera: 16+20 MP Dual rear camera with Optical Image Stabilization, Super slow motion, Nightscape and Studio Lighting | 16 MP front cameraDisplay: 6.41-inch(16.2 cms) Full HD+ Optic AMOLED display with 2340 x 1080 pixels resolution and an 86% screen-to-body ratioMemory, Storage & SIM: 8GB RAM | 256GB storage | Dual nano SIM with dual standby (4G+4G)Screen Unlock: In-screen fingerprint sensor. The OnePlus 6T unlocks in 0.34s for a seamless and intuitive unlock experienceOperating System and Processor: OxygenOS based on Android 9.0 Pie with 2.8GHz Qualcomm Snapdragon 845 octa-core processorBattery : 3700 mAh lithium-polymer battery with Fast Charge technologyIncluded in the Box: Screen Protector (pre-applied); Translucent Case; OnePlus Fast Charge Type-C Cable; OnePlus Fast Charge Power Adapter; SIM Tray Ejector; Quick Start Guide; Safety Information; OnePlus Type-C to 3.5mm Audio Jack AdapterProduct information 8+256 GB , Midnight BlackOS AndroidRAM 8 GBManufacturer OnePlusProduct Dimensions 15.8 x 0.8 x 7.5 cmItem model number A6010Wireless communication technologies Bluetooth;WiFi HotspotConnectivity technologies 2G;3G;GPS;GLONASS;Galileo;BeiDou;USB 2.0;OTG;WiFi 802.11 a/b/g/n/acSpecial features SIM;GPS;Music Player;Video Player;E-mailOther camera features 16MP (Front camera)Form factor Touchscreen PhoneWeight 186 GramsColour Midnight BlackBattery Power Rating 3700Whats in the box Handset, Screen Protector (pre-applied), Translucent Case, OnePlus Fast Charge Type-C Cable, OnePlus Fast Charge Power Adapter, SIM Tray Ejector, Quick Start Guide, Safety Information and Type-C to 3.5mm Audio Jack AdapterAdditional InformationASIN: B07DJCJBRDCustomer Reviews: 4.5 out of 5 stars 14,564ReviewsBest Sellers Rank: 171Date First Available: 31 Oct 2018Instruction Manual [PDF ]Warranty & SupportWarranty Details: 1 year manufacturer warranty from the date of purchaseWarranty information1 year manufacturer warranty from the date of purchaseBuy with accessories OnePlus 9% offThis item:OnePlus 6T (Midnight Black, 8GB RAM, 256GB Storage)OnePlus 6T (Midnight Black, 8GB RAM, 256G… 14,564₹ 41,999  ₹ 45,999+ Foso 72% offFOSO F12 Ultra Slim Silicon Sleek Rubberized Back Case Cover for One Plus 6T (Black)FOSO F12 Ultra Slim Silicon Sleek Rubberiz… 20₹ 199  ₹ 699View other accessoriesTotal price: Rs.42,198Add both to CartSponsored products related to this item Bounceback ® Oneplus 6 Cover Case (AF Series) Shock Proof Anti Slip Clear Transparent Soft TPU Back Cover Case for Oneplus 6 (Matte Red)Bounceback ® Oneplus 6...4 reviews₹ 199.00 BuyFeb Clear View Electroplate Mirror Protective Leather Flip Cover for OnePlus 6BuyFeb Clear View Elec...₹ 599.00 Noise Shots Sport Truly Wireless Bluetooth Earphones with Charging Case, Compatible with Android & iOS(Black)Noise Shots Sport Trul...1036 reviews₹ 2,999.00 Urban Armor Gear UAG Plasma Feather Light Rugged Military Drop Tested Case Cover for OnePlus 6Urban Armor Gear UAG P...190 reviews₹ 990.00 WELLTECH Bluetooth Q18 4G Smartwatch with Camera, SIM Card Support, Pedometer, Sedentary Remind and Sleep Monitoring for Smartphones (Black)WELLTECH Bluetooth Q18...2 reviews₹ 1,599.00 Cover Affair Aztec Printed Designer Slim Light Weight Back Cover Case for One Plus 6(Pink White Blue Black and Other, G2-D81)Cover Affair Aztec Pri...9 reviews₹ 398.00 TUDIA Merge Case for OnePlus 6T / OP6T- Matte Black [TD-TPU4228]TUDIA Merge Case for O...19 reviews₹ 1,199.00Customers who bought this item also bought Servify OnePlus Secure 1 Year Extended Warranty Plan for OnePlus 6T (8GB RAM + 256GB Memory)Servify OnePlus Secure 1 Year Extended Warranty Plan for OnePlus 6T (8GB RAM + 256GB Memory)5.0 out of 5 stars 3  2,299.00 Servify OnePlus Protect 1 Year Accident and Liquid Damage Protection Plan for OnePlus 6T (8GB RAM + 256GB Memory)Servify OnePlus Protect 1 Year Accident and Liquid Damage Protection Plan for OnePlus 6T (8GB RAM + 256GB Memory)4.0 out of 5 stars 6  3,199.00 GoRogue 5D Curved Edge-to-Edge Tempered Glass Screen Protector for OnePlus 6T (Carbon Black)GoRogue 5D Curved Edge-to-Edge Tempered Glass Screen Protector for OnePlus 6T (Carbon Black)3.3 out of 5 stars 5  199.00Show all 79 itemsAdvertisementCustomer QuestionsCustomer Questions Have a question? Search for answersQ: Will the Fingerprint sensor work in temp.glass or not???? Or i have to simply use any othe…A: Well it will work with temp glass coz it a small cam under the display so just go for itJitender| 5 months agoQ: Anybody hu owns this phone really miss the notification led?A: It has other cooler things thoughManojprabhu| 5 months agoQ: does one plus 6t record phone calls?A: Yes. It has inbuilt featureAmazon Customer| 5 months agoQ: What is the main difference of OP 6 & 6T?A: Finger print is removed from back to in display, 3.5mm jack port is removed, notch is smal…MUNINDRA PRATAP SINGH| 5 months agoSee all 1000+ answered questions14,564 customer reviews4.5 out of 5 stars4.5 out of 5 starsRated by featurePicture quality4.54.5Sound quality4.54.5Battery life4.54.5By customer groups & interestsAvengers4.6Amazon Prime members4.5Is this helpful?YesNo  SEE MORERead reviews that mentionbattery life picture quality fingerprint sound quality value for money headphone jack night mode flagship killer camera quality battery backup best phone quality is good never settle price range super fast face recognition print sensor print scanner dash charging good batterySee moreTop reviews  Tanmay Shukla5.0 out of 5 starsVerified PurchaseSize: 6+128 GBColour: Mirror BlackI got this phone on Friday evening. Pros: Great battery life Amazing performance Premium design Impressive rear and front camera In display fingerprint scanner is really fast... Surbhi Garg2.0 out of 5 starsVerified PurchaseSize: 6+128 GBColour: Mirror BlackCamera quality is not upto the mark. I visited one plus store and the store representative checked my phone and compared the camera quality with his demo phone. He noticed a... Saroj N.1.0 out of 5 starsVerified PurchaseSize: 8+128 GBColour: Midnight Black1. The Battery lasts max of 6 hours. 2. Major application not working in the upper side of the screen. 3. Camera quality is very poor. 4. Audio output through earphone is...See all 14,564 reviewsWrite a reviewCustomers who viewed this item also viewed Honor View20 (Blue, 8GB RAM, 256GB Storage)Honor View20 (Blue, 8GB RAM, 256GB Storage)4.3 out of 5 stars 491  45,999.00 Honor View20 (Blue, 6GB RAM, 128GB Storage)Honor View20 (Blue, 6GB RAM, 128GB Storage)4.3 out of 5 stars 491  37,999.00 Honor View20 (Midnight Black, 6GB RAM, 128GB Storage)Honor View20 (Midnight Black, 6GB RAM, 128GB Storage)4.3 out of 5 stars 491  37,999.00Show all 38 items  ",positive,1,1,1,1,1
71,Awsm  ,neutral,0,0,0,0,0
72,Worst performance & poor service & lack of consistency  ,negative,0,0,0,0,0
73,Great speed. Good look. Nice phone. Worth for money  ,positive,0,0,1,0,0
74,Great phone for the price. You will not regret buying this one. Although a lil extra will get you OnePlus 7 in May or June. But totally happy with the performance. Best thing about this is the dash charger and screen quality.  ,positive,0,0,0,0,0
75,Good phone worth for price  ,positive,0,0,0,0,0
76,Awesome  ,positive,0,0,0,0,0
77,Excellent phone  ,positive,0,0,1,0,0
78,Awesome phone with nice camera...and processor  ,positive,0,0,0,0,1
79,Just got off and turning on at all despite all charging efforts.  ,neutral,0,0,0,0,0
80,One of the best phone I ever used.. perfect in every domain.. totally a flagship mobile.  ,positive,0,0,0,0,0
81,Fast then ever  ,neutral,0,0,0,0,0
82,Face recognition is excellent  ,positive,0,0,0,0,0
83,Amazing feature loved it proud member of 1+  ,positive,0,0,0,0,0
84,Amazing the phone!!  The Very best out there.!  The specs speak for themselves but beyond that the ambience with which you receive the phone and feel when you use it beyond words!! It's just fabulous. Buy this phone before it goes out of stock again!!  ,positive,0,0,0,0,0
85,Nice phone  ,positive,0,0,0,0,0
86,"Not so happy but still a one plus fan, still using the first version of OnePlus and happy with it  ",negative,0,0,0,0,0
87,Super  ,positive,0,0,0,0,0
88,"Everything is fine rgd'ing amazon time date of delivery followed as per schedule.and mobile is excellent.but the very next 2nd day my mobi gave a display problem and info given to amazon,waiting for their response for pick up and replace new piece. Sharath kumar/hyd.  ",negative,0,0,0,0,0
89,face unlock & fingerprint sensor doesn't recognize me sometimes.  ,neutral,0,0,0,1,0
90,"Amazing features, so intuitive and ease of operation  ",positive,0,0,0,0,0
91,"This mobile was gifted to me by my husband. This is nice phone but has major drawbacks.The camera that they advertise for the depth effect doesn't seems to work. The camera crashes everytime when I try to click pictures in depth mode.Also its not even 6 months from the date of purchase, and the phone is not durable at all.Glass got shattered when it fell.There must be some durability when they say gorilla glass 6 and they charge you huge amount for the phone; and even accessories.I have really had not so good experience about oneplus 6t.  ",negative,0,0,0,0,1
92,Found great  ,positive,0,0,0,0,0
93,Doesn't setisfy from camera quality  ,neutral,0,0,0,0,1
94,Great buy at a greater price 👍👌  ,positive,0,0,0,0,0
95,Nice  ,positive,0,0,0,0,0
96,Mclaren edition loving it  ,positive,0,0,0,0,0
97,Only fingerprint reader is d drawback  ,neutral,0,0,0,1,0
98,Fingerprint  ,neutral,0,0,0,1,0
99,Battery backup not coming .......  ,neutral,1,0,0,0,0
